x, y
295.92477943517133, 0.09788079012901255
299.6865251744895, 0.09258277724089449
305.95611735108383, 0.08463575790871741
314.7335081317623, 0.07562914206201131
322.2570952767831, 0.0682119226712917
332.2883853595034, 0.061324509958801274
342.31977110860834, 0.054083888302976876
354.85895546179717, 0.04878587541485883
374.92163129362234, 0.041898462702368425
401.25389930204193, 0.03501102977956272
450.15673741275526, 0.027064010447385645
485.2664918682377, 0.02335541085718348
519.1222513552937, 0.020706404413124452
580.5642738191957, 0.01699779808615052
636.9906034085454, 0.014878598320320704
677.1159550721959, 0.013465789494071822
723.510994578825, 0.012229591876261676
752.3510611913287, 0.011699785198032463
783.6990220743007, 0.010993380784908009
812.5391843531888, 0.010640185315117555
867.7116146404966, 0.010110378636888342
